# Timestamp(ns);angle_cmd
1687075028544778752.000000;9.411203
1687075028547343616.000000;9.409093
1687075028548668160.000000;9.404987
1687075028549313024.000000;9.400355
1687075028549853440.000000;9.397091
1687075028550385408.000000;9.395359
1687075028550897664.000000;9.392881
1687075028551284992.000000;9.351396
1687075028551642368.000000;9.320599
1687075028551980032.000000;9.300540
1687075028553133568.000000;9.298667
1687075028563107328.000000;9.259155
1687075028573184000.000000;9.245876
1687075028583056384.000000;9.229771
1687075028592964352.000000;9.219681
1687075028602906112.000000;9.211761
1687075028614280704.000000;9.205481
1687075028622973184.000000;9.198668
1687075028632832512.000000;9.195856
1687075028642955008.000000;9.193520
1687075028653403648.000000;9.189645
1687075028664864768.000000;9.250826
1687075028673293824.000000;9.282500
1687075028683574528.000000;9.306467
1687075028693358848.000000;9.323972
1687075028706920960.000000;9.333554
1687075028716129024.000000;9.308466
1687075028723853568.000000;9.293440
1687075028733323520.000000;9.283023
1687075028744073728.000000;9.276384
1687075028754697472.000000;9.270683
1687075028764101632.000000;9.256871
1687075028772953600.000000;9.251810
1687075028785442560.000000;9.247758
1687075028793823488.000000;9.243762
1687075028804873984.000000;9.239573
1687075028814043392.000000;9.247958
1687075028823410944.000000;9.251120
1687075028840808960.000000;9.253621
1687075028844362240.000000;9.256686
1687075028852911104.000000;9.259733
1687075028872785664.000000;9.261698
1687075028876818688.000000;9.261698
1687075028882937088.000000;9.204839
1687075028898213120.000000;9.187589
1687075028903482112.000000;9.177545
1687075028913805056.000000;9.213256
1687075028923179264.000000;9.233261
1687075028933633024.000000;9.248405
1687075028944602624.000000;9.256570
1687075028954843904.000000;9.262610
1687075028964434944.000000;9.305229
1687075028974164224.000000;9.335053
1687075028984172544.000000;9.352731
1687075028993671424.000000;9.366323
1687075029005137920.000000;9.376941
1687075029015393792.000000;9.383802
1687075029023175936.000000;9.388849
1687075029034672640.000000;9.392620
1687075029046466560.000000;9.399594
1687075029053217536.000000;9.368539
1687075029063842304.000000;9.352295
1687075029075173120.000000;9.352330
1687075029083654400.000000;9.351355
1687075029096133376.000000;9.349895
1687075029103920384.000000;9.345533
1687075029116881408.000000;9.346566
1687075029123885056.000000;9.347776
1687075029138966272.000000;9.345584
1687075029146436864.000000;9.343622
1687075029154499840.000000;9.325849
1687075029164215552.000000;9.311031
1687075029173293568.000000;9.306908
1687075029183827968.000000;9.302758
1687075029192911360.000000;9.299600
1687075029203770112.000000;9.295657
1687075029213316096.000000;9.312819
1687075029226032640.000000;9.321053
1687075029232842496.000000;9.323288
1687075029243311616.000000;9.327441
1687075029259036672.000000;9.323314
1687075029269696000.000000;9.338360
1687075029274104832.000000;9.344923
1687075029283954944.000000;9.346590
1687075029295549184.000000;9.348329
1687075029304390400.000000;9.345854
1687075029314790912.000000;9.344240
1687075029326629376.000000;9.323605
1687075029335203840.000000;9.311335
1687075029344472832.000000;9.310037
1687075029357213952.000000;9.292421
1687075029367609856.000000;9.321659
1687075029375572480.000000;9.340561
1687075029383376896.000000;9.346886
1687075029394270208.000000;9.351127
1687075029404879616.000000;9.352267
1687075029416334080.000000;9.352614
1687075029425167872.000000;9.357057
1687075029434796800.000000;9.357917
1687075029443978240.000000;9.358529
1687075029455310592.000000;9.358401
1687075029470433792.000000;9.321222
1687075029475715840.000000;9.303432
1687075029483449344.000000;9.287964
1687075029495513856.000000;9.276767
1687075029504581376.000000;9.269788
1687075029516037120.000000;9.263803
1687075029523406592.000000;9.233739
1687075029534593792.000000;9.217742
1687075029547984128.000000;9.204843
1687075029554594304.000000;9.194942
1687075029564269824.000000;9.212333
1687075029574674944.000000;9.216270
1687075029584695808.000000;9.223789
1687075029596536320.000000;9.227752
1687075029607263744.000000;9.230829
1687075029615449088.000000;9.230944
1687075029627453952.000000;9.257862
1687075029635328512.000000;9.275365
1687075029646576640.000000;9.285974
1687075029658307584.000000;9.290737
1687075029668325888.000000;9.293905
1687075029675760384.000000;9.292903
1687075029684395008.000000;9.289620
1687075029697040896.000000;9.286349
1687075029705898752.000000;9.280217
1687075029717455872.000000;9.245492
1687075029724580864.000000;9.223918
1687075029735676160.000000;9.206203
1687075029745948672.000000;9.195065
1687075029755760896.000000;9.189321
1687075029767187456.000000;9.187156
1687075029776057856.000000;9.179727
1687075029787192320.000000;9.178727
1687075029796860928.000000;9.174319
1687075029809782272.000000;9.169330
1687075029817931264.000000;9.219254
1687075029825239808.000000;9.245121
1687075029838653696.000000;9.264580
1687075029848150784.000000;9.278694
1687075029855479552.000000;9.289414
1687075029869474048.000000;9.313633
1687075029876209664.000000;9.322950
1687075029884723200.000000;9.328650
1687075029896013056.000000;9.328881
1687075029907613696.000000;9.329898
