AV21 Vehicle Sensors Database


Dates: 2022-09-21 
Venue: Lucas Oil Raceway

field                               file                        unit                 description
======================              ===============             ============         =====================================
Timestamp(ns)                       all                         ns                   Time at which data point was recorded
pedal_cmd                           accelerator_pedal_cmd       percent              Accelerator pedal position
pedal_input                         accelerator_pedal_report    percent              Commanded accelerator pedal position
pedal_output                        accelerator_pedal_report    percent              Achieved accelerator pedal position
front_brake_pressure                brake_2_report              kPa                  Front brake hydraulic pressure
rear_brake_pressure                 brake_2_report              kPa                  Rear brake hydraulic pressure
pedal_cmd                           brake_cmd                   percent              Brake pedal position
gear_cmd                            command                     -                    Commanded gear selection
brake_cmd                           command                     percent              Commanded braking
accelerator_cmd                     command                     percent              Commanded acceleration
track_flag                          flag_report                 -                    Current track status
veh_flag                            flag_report                 -                    Current vehicle status
engine_rpm                          pt_report                   rpm                  Engine crankshaft's rotations per minute
current_gear                        pt_report                   -                    Currently engaged gear
torque_wheels                       pt_report                   -                    Torque applied to the wheels
angle_cmd                           steering_cmd                degrees              Commanded steering angle
steering_wheel_angle                steering_report             degrees              Current steering wheel angle
steering_wheel_angle_cmd            steering_report             degrees              Commanded steering wheel angle
fl_tire_pressure                    tire_report                 mbar                 Front left tire pressure
fl_damper_linear_potentiometer      tire_report                 N                    Front left suspension damper position
fr_tire_pressure                    tire_report                 mbar                 Front right tire pressure
fr_damper_linear_potentiometer      tire_report                 N                    Front right suspension damper position
rl_tire_pressure                    tire_report                 mbar                 Rear left tire pressure
rl_damper_linear_potentiometer      tire_report                 N                    Rear left suspension damper position
rr_tire_pressure                    tire_report                 mbar                 Rear right tire pressure
rr_damper_linear_potentiometer      tire_report                 N                    Rear right suspension damper position
front_left.median                   tire_temp_report            C                    Median temperature of front left tire
front_left.mean                     tire_temp_report            C                    Mean temperature of front left tire
front_left.min                      tire_temp_report            C                    Minimum temperature of front left tire
front_left.max                      tire_temp_report            C                    Maximum temperature of front left tire
front_right.median                  tire_temp_report            C                    Median temperature of front right tire
front_right.mean                    tire_temp_report            C                    Mean temperature of front right tire
front_right.min                     tire_temp_report            C                    Minimum temperature of front right tire
front_right.max                     tire_temp_report            C                    Maximum temperature of front right tire
rear_left.median                    tire_temp_report            C                    Median temperature of rear left tire
rear_left.mean                      tire_temp_report            C                    Mean temperature of rear left tire
rear_left.min                       tire_temp_report            C                    Minimum temperature of rear left tire
rear_left.max                       tire_temp_report            C                    Maximum temperature of rear left tire
rear_right.median                   tire_temp_report            C                    Median temperature of rear right tire
rear_right.mean                     tire_temp_report            C                    Mean temperature of rear right tire
rear_right.min                      tire_temp_report            C                    Minimum temperature of rear right tire
rear_right.max                      tire_temp_report            C                    Maximum temperature of rear right tire
front_left                          wheel_speed_report          Rad/s                Rotational speed of the front left wheel
front_right                         wheel_speed_report          Rad/s                Rotational speed of the front rear wheel
rear_left                           wheel_speed_report          Rad/s                Rotational speed of the rear left wheel
rear_right                          wheel_speed_report          Rad/s                Rotational speed of the rear right wheel
